#define,=,<<,typedef,i,return,def,if,-,},{,static,using,let,mut,import,public,.,::,->,var,int,==,//,language,path
21,51,7,0,10,32,0,13,18,46,15,4,10,0,0,0,0,0,0,0,0,8,1,7,C++,data/train/C++/s876849274.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s718513009.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s343878263.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s247524801.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s410281798.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s545381139.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s425500369.cpp
7,5,7,3,1,4,0,0,0,5,7,0,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s941649669.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s518224435.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s849840619.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s859290655.cpp
14,49,8,8,16,2,0,0,1,9,13,0,2,0,0,0,0,0,0,0,0,16,0,0,C++,data/train/C++/s485972846.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s788319070.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s383219630.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s343429060.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s658342030.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s252987763.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s548176295.cpp
19,15,16,12,13,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s474655373.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s729566601.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s738682322.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s373784345.cpp
8,0,6,1,2,1,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,3,0,0,C++,data/train/C++/s887907860.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s198430277.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s610195016.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s161419402.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s822118990.cpp
11,4,21,5,2,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,C++,data/train/C++/s630110446.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s151214314.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s950323373.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s900347035.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s847911548.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,1,C++,data/train/C++/s767146319.cpp
19,15,16,12,13,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s482950604.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s169071870.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s645690617.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s757292467.cpp
19,15,16,12,13,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s231150224.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s216705871.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s240918989.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s339899407.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s473714700.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s312439845.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s576493513.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s409499076.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s770879982.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s692496295.cpp
4,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,C++,data/train/C++/s794311726.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s315546013.cpp
9,21,0,2,7,39,0,14,10,39,24,0,1,0,0,0,1,0,0,1,0,9,0,10,C++,data/train/C++/s215003863.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s744310595.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s774373571.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s638279367.cpp
14,3,13,2,2,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,C++,data/train/C++/s489116545.cpp
5,0,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,6,0,0,C++,data/train/C++/s320673988.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s778361472.cpp
22,3,14,7,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,2,0,1,C++,data/train/C++/s353681152.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s374477524.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s959823099.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s946871095.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s854777645.cpp
19,15,16,12,13,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s262647852.cpp
19,15,16,12,13,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s314478143.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s543510983.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s395234413.cpp
